competition_code,season,matchday,position,team_id,team_name,played,won,draw,lost,goals_for,goals_against,goal_diff,points,form
BSA,2026,21,1,1,CR Flamengo,21,13,5,3,38,18,20,44,WWDWW
BSA,2026,21,2,2,SE Palmeiras,21,13,4,4,36,17,19,43,WDWWW
BSA,2026,21,3,3,Cruzeiro EC,21,12,5,4,33,16,17,41,WWWDL
BSA,2026,21,4,4,Botafogo FR,21,11,6,4,32,19,13,39,DWWWW
BSA,2026,21,5,5,Sao Paulo FC,21,10,6,5,29,20,9,36,WDLWW
BSA,2026,21,6,6,Fluminense FC,21,10,5,6,28,22,6,35,WDWDL
BSA,2026,21,7,7,SC Internacional,21,9,7,5,27,21,6,34,DWWWD
BSA,2026,21,8,8,EC Bahia,21,9,6,6,30,26,4,33,LWWDW
BSA,2026,21,9,9,Gremio FBPA,21,8,7,6,25,23,2,31,WDLWD
BSA,2026,21,10,10,CR Vasco da Gama,21,8,6,7,24,24,0,30,DLWWD
BSA,2026,21,11,11,SC Corinthians,21,7,8,6,22,22,0,29,WDDWL
BSA,2026,21,12,12,Red Bull Bragantino,21,7,6,8,23,26,-3,27,LWDWL
BSA,2026,21,13,13,Fortaleza EC,21,6,8,7,21,24,-3,26,DDLWW
BSA,2026,21,14,14,Atletico Mineiro,21,6,7,8,20,25,-5,25,WLLDW
BSA,2026,21,15,15,Santos FC,21,6,6,9,19,27,-8,24,LDWLL
BSA,2026,21,16,16,EC Vitoria,21,5,7,9,18,28,-10,22,WLLDL
BSA,2026,21,17,17,Ceara SC,21,5,6,10,17,29,-12,21,LLWDL
BSA,2026,21,18,18,Mirassol FC,21,4,7,10,16,30,-14,19,DLLWL
BSA,2026,21,19,19,Sport Recife,21,4,5,12,15,32,-17,17,LLLDL
BSA,2026,21,20,20,AC Goianiense,21,3,5,13,14,34,-20,14,LLLLD
